<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140623,000000,11.8545000,11.8782000,11.8545000,11.8782000,0
20140624,000000,11.8920000,11.8920000,11.8920000,11.8920000,0
20140625,000000,11.8819000,11.8819000,11.8819000,11.8819000,0
20140626,000000,11.8920000,11.8947000,11.8920000,11.8947000,0
20140627,000000,11.8233000,11.8233000,11.8233000,11.8233000,0
20140629,000000,11.8233000,11.8233000,11.8233000,11.8233000,0
20140701,000000,11.7854000,11.8233000,11.7854000,11.7854000,0
20140703,000000,11.8410000,11.8410000,11.8410000,11.8410000,0
20140704,000000,11.8410000,11.8410000,11.8410000,11.8410000,0
20140707,000000,11.8410000,11.8410000,11.7854000,11.7854000,0
20140708,000000,11.7122000,11.7122000,11.7122000,11.7122000,0
20140709,000000,11.6580000,11.7122000,11.6580000,11.6580000,0
20140710,000000,11.6957000,11.6957000,11.6957000,11.6957000,0
20140714,000000,11.6938000,11.6962000,11.6938000,11.6962000,0
20140716,000000,11.7180000,11.7180000,11.7180000,11.7180000,0
20140717,000000,11.7195000,11.7195000,11.7195000,11.7195000,0
20140718,000000,11.6490000,11.6490000,11.6490000,11.6490000,0
20140720,000000,11.6490000,11.6490000,11.6490000,11.6490000,0
20140721,000000,11.6555000,11.6555000,11.6555000,11.6555000,0
20140722,000000,11.6700000,11.6700000,11.6700000,11.6700000,0
20140723,000000,11.6443000,11.6443000,11.6443000,11.6443000,0
20140725,000000,11.7525000,11.7525000,11.7525000,11.7525000,0
20140728,000000,11.8583000,11.8583000,11.8583000,11.8583000,0
20140729,000000,11.9875000,11.9875000,11.9875000,11.9875000,0
20140730,000000,12.0031000,12.0031000,12.0031000,12.0031000,0
20140731,000000,12.0972000,12.0972000,12.0972000,12.0972000,0
20140801,000000,12.2811000,12.2811000,11.9632000,11.9632000,0
20140804,000000,11.6962000,12.3400000,11.6962000,12.3400000,0
20140805,000000,12.3050000,12.3050000,12.2975000,12.2975000,0
20140806,000000,12.3548000,12.3548000,12.3538000,12.3538000,0
20140811,000000,12.7000000,12.8255000,12.7000000,12.8255000,0
